WorkDate,Customer,Location,BusinessType,OrderCount,NumberOfPieces,TotalRevenue
1/2/2020,Amazon,Chicago,Final Mile,38,190,2084.09
1/2/2020,Home Depot,Sacramento,Final Mile,34,136,6153.01
1/2/2020,Home Depot,Chicago,Final Mile,43,215,15691.72
1/2/2020,Home Depot,Detroit,Final Mile,41,164,6490.39
1/2/2020,Home Depot,Atlanta,Final Mile,44,220,10069.65
1/2/2020,Home Depot,Houston,Final Mile,49,196,9040.49
1/2/2020,T.J. Maxx,Seattle,Middle Mile,18,72,730.11
1/2/2020,T.J. Maxx,Chicago,Middle Mile,33,165,1490.64
1/2/2020,Home Goods,San Francisco,Middle Mile,34,170,1199.8
1/2/2020,Home Goods,Chicago,Middle Mile,18,90,1179.61
1/2/2020,Home Goods,Detroit,Middle Mile,41,205,1326.84
1/2/2020,Home Goods,Los Angeles,Middle Mile,30,150,1519.02
1/2/2020,Home Goods,Birmingham,Middle Mile,32,128,895.8
1/2/2020,Chick-Fil-A,Tampa Bay,Final Mile,30,150,1493.43
1/2/2020,Home Depot,Dallas,Final Mile,39,195,3912.05
1/2/2020,Chipotle,Detroit,Final Mile,15,90,393.58
1/2/2020,Chipotle,Chicago,Final Mile,46,184,2565.8
1/2/2020,Chipotle,Miami,Final Mile,12,60,1007.96
1/2/2020,Lowes,Milwaukee,Final Mile,8,40,1201.04
1/2/2020,Lowes,Detroit,Final Mile,12,60,491.06
1/2/2020,Lowes,Sacramento,Final Mile,23,115,4729.94
1/2/2020,Starbucks,Nashville,Middle Mile,36,216,3315.71
1/2/2020,Starbucks,Seattle,Middle Mile,38,190,2893.95
1/2/2020,Starbucks,Miami,Middle Mile,36,180,782.46
1/2/2020,Starbucks,San Diego,Middle Mile,36,180,3156.56
1/2/2020,Starbucks,Tampa Bay,Middle Mile,16,80,346.5
1/2/2020,Starbucks,Minneapolis,Middle Mile,18,90,1352.09
1/2/2020,Starbucks,Milwaukee,Middle Mile,32,160,1384.1
1/2/2020,Starbucks,Los Angeles,Middle Mile,39,195,2993.41
1/2/2020,Chipotle,Houston,Final Mile,33,165,2484.61
1/2/2020,Home Depot,Milwaukee,Final Mile,20,120,4328.11
1/2/2020,Chick-Fil-A,Detroit,Final Mile,33,165,1251.7
1/2/2020,Costco,Detroit,First Mile,7,35,730.94
1/2/2020,Home Depot,Nashville,Final Mile,49,245,6673.36
1/2/2020,Amazon,Atlanta,Final Mile,41,205,4616
1/2/2020,Amazon,San Francisco,Final Mile,27,135,676.54
1/2/2020,Amazon,San Diego,Final Mile,41,246,1651.41
1/2/2020,Amazon,New York,Final Mile,16,80,1860.2
1/2/2020,Amazon,Nashville,Final Mile,15,75,1518.77
1/2/2020,Amazon,Dallas,Final Mile,40,240,5417.87
1/2/2020,Amazon,Tampa Bay,Final Mile,37,185,2062.8
1/2/2020,Amazon,Sacramento,Final Mile,12,60,1353.61
1/2/2020,Walmart,Milwaukee,Middle Mile,20,100,1557.03
1/2/2020,Walmart,Chicago,Middle Mile,48,240,5654.51
1/2/2020,Target,Atlanta,Middle Mile,36,180,1523.48
1/2/2020,Target,Milwaukee,Middle Mile,43,172,1208.45
1/2/2020,Target,San Francisco,Middle Mile,23,92,929.84
1/2/2020,Walmart,New York,Middle Mile,36,180,792.6
1/2/2020,Costco,Minneapolis,First Mile,18,90,3554.4
1/2/2020,Costco,Dallas,First Mile,14,70,1505.01
1/2/2020,Target,Detroit,Middle Mile,35,175,913.95
1/2/2020,Costco,San Diego,First Mile,23,92,2040.58
1/2/2020,Costco,Birmingham,First Mile,7,35,546.57
1/2/2020,Costco,Houston,First Mile,10,50,704.33
1/2/2020,Costco,Sacramento,First Mile,11,55,879.66
1/2/2020,Costco,Chicago,First Mile,8,32,1213.97
1/2/2020,Costco,Miami,First Mile,20,120,4060.79
1/2/2020,Costco,Atlanta,First Mile,22,88,3124.73
1/2/2020,Target,Dallas,Middle Mile,38,190,1458.74
1/2/2020,Target,Chicago,Middle Mile,49,245,2945.05
1/2/2020,Target,Nashville,Middle Mile,40,160,1977.16
1/2/2020,Costco,Milwaukee,First Mile,9,45,499.58
1/3/2020,Home Depot,Miami,Final Mile,18,90,3741
1/3/2020,Home Goods,San Francisco,Middle Mile,34,204,1439.76
1/3/2020,T.J. Maxx,Los Angeles,Middle Mile,43,215,1051.18
1/3/2020,Home Depot,Houston,Final Mile,49,245,11300.61
1/3/2020,Home Depot,Chicago,Final Mile,43,215,15691.72
1/3/2020,Home Depot,Los Angeles,Final Mile,47,235,15313.83
1/3/2020,Costco,Seattle,First Mile,13,52,1120.83
1/3/2020,Home Depot,Nashville,Final Mile,49,245,6673.36
1/3/2020,Home Depot,Tampa Bay,Final Mile,23,115,8391.1
1/3/2020,Home Depot,Birmingham,Final Mile,14,70,5246.74
1/3/2020,Costco,Nashville,First Mile,14,70,2193.13
1/3/2020,Home Goods,Sacramento,Middle Mile,35,175,740.82
1/3/2020,Home Depot,Milwaukee,Final Mile,20,80,2885.41
1/3/2020,Home Goods,Detroit,Middle Mile,41,205,1326.84
1/3/2020,Starbucks,Sacramento,Middle Mile,15,75,644.68
1/3/2020,Chick-Fil-A,Houston,Final Mile,31,155,2177.27
1/3/2020,Chick-Fil-A,San Francisco,Final Mile,13,65,592.9
1/3/2020,Chipotle,Seattle,Final Mile,44,308,1493.83
1/3/2020,Chipotle,Chicago,Final Mile,46,230,3207.25
1/3/2020,Chipotle,Milwaukee,Final Mile,22,110,1552.02
1/3/2020,Lowes,Chicago,Final Mile,26,130,6759.66
1/3/2020,Shein,Tampa Bay,Middle Mile,35,140,3216.99
1/3/2020,Shein,New York,Middle Mile,17,102,2022.11
1/3/2020,Shein,Los Angeles,Middle Mile,10,50,325.24
1/3/2020,Shein,Chicago,Middle Mile,26,130,1761.99
1/3/2020,Shein,Dallas,Middle Mile,36,180,3766.04
1/3/2020,Starbucks,Birmingham,Middle Mile,36,216,2092.89
1/3/2020,Starbucks,Tampa Bay,Middle Mile,16,64,277.2
1/3/2020,Costco,Detroit,First Mile,7,35,730.94
1/3/2020,Home Goods,New York,Middle Mile,14,56,1015.55
1/3/2020,Costco,Minneapolis,First Mile,18,90,3554.4
1/3/2020,Home Goods,Miami,Middle Mile,29,145,1723.66
1/3/2020,Costco,Birmingham,First Mile,7,35,546.57
1/3/2020,Costco,San Diego,First Mile,23,115,2550.72
1/3/2020,Amazon,Atlanta,Final Mile,41,164,3692.8
1/3/2020,Amazon,San Francisco,Final Mile,27,135,676.54
1/3/2020,Amazon,Los Angeles,Final Mile,31,186,3195.37
1/3/2020,Amazon,San Diego,Final Mile,41,205,1376.18
1/3/2020,Amazon,Houston,Final Mile,21,126,679.08
1/3/2020,Amazon,New York,Final Mile,16,80,1860.2
1/3/2020,Amazon,Birmingham,Final Mile,19,95,1426.11
1/3/2020,Amazon,Nashville,Final Mile,15,75,1518.77
1/3/2020,Amazon,Dallas,Final Mile,40,240,5417.87
1/3/2020,Amazon,Tampa Bay,Final Mile,37,185,2062.8
1/3/2020,Amazon,Sacramento,Final Mile,12,72,1624.33
1/3/2020,Walmart,New York,Middle Mile,36,108,475.56
1/3/2020,Walmart,Milwaukee,Middle Mile,20,100,1557.03
1/3/2020,Walmart,Chicago,Middle Mile,48,240,5654.51
1/3/2020,Amazon,Chicago,Final Mile,38,152,1667.27
1/3/2020,Target,Tampa Bay,Middle Mile,22,110,450.71
1/3/2020,Target,Atlanta,Middle Mile,36,180,1523.48
1/3/2020,Costco,New York,First Mile,18,90,1337
1/3/2020,Costco,Los Angeles,First Mile,16,80,1850.04
1/3/2020,Costco,Sacramento,First Mile,11,55,879.66
1/3/2020,Costco,Milwaukee,First Mile,9,45,499.58
1/3/2020,Costco,Miami,First Mile,20,100,3383.99
1/3/2020,Costco,Houston,First Mile,10,50,704.33
1/3/2020,Target,Dallas,Middle Mile,38,190,1458.74
1/3/2020,Target,Los Angeles,Middle Mile,22,132,1931.71
1/3/2020,Target,Seattle,Middle Mile,26,130,3235.81
1/3/2020,Target,Chicago,Middle Mile,49,245,2945.05
1/3/2020,Target,Sacramento,Middle Mile,39,156,1193.59
1/3/2020,Costco,Atlanta,First Mile,22,110,3905.92
1/4/2020,T.J. Maxx,Seattle,Middle Mile,7,35,354.91
1/4/2020,Home Depot,Atlanta,Final Mile,17,85,3890.55
1/4/2020,Home Depot,Chicago,Final Mile,17,102,7444.45
1/4/2020,Costco,Dallas,First Mile,5,20,430
1/4/2020,Home Depot,Miami,Final Mile,7,35,1454.83
1/4/2020,Home Depot,Los Angeles,Final Mile,18,90,5864.87
1/4/2020,Home Depot,Milwaukee,Final Mile,8,48,1731.25
1/4/2020,Home Depot,Dallas,Final Mile,15,75,1504.63
1/4/2020,Home Depot,Birmingham,Final Mile,5,25,1873.83
1/4/2020,Costco,Nashville,First Mile,5,25,783.26
1/4/2020,Costco,Seattle,First Mile,5,25,538.86
1/4/2020,Home Goods,Tampa Bay,Middle Mile,8,40,335
1/4/2020,Home Depot,Sacramento,Final Mile,13,65,2940.77
1/4/2020,Home Goods,Chicago,Middle Mile,7,35,458.74
1/4/2020,Shein,Tampa Bay,Middle Mile,14,70,1608.49
1/4/2020,Chick-Fil-A,Houston,Final Mile,12,60,842.81
1/4/2020,Chick-Fil-A,Los Angeles,Final Mile,7,35,524.57
1/4/2020,Chipotle,Detroit,Final Mile,6,30,131.19
1/4/2020,Chipotle,Atlanta,Final Mile,6,30,512.72
1/4/2020,Lowes,Milwaukee,Final Mile,3,18,540.47
1/4/2020,Shein,New York,Middle Mile,7,49,971.41
1/4/2020,Shein,Sacramento,Middle Mile,6,30,299.72
1/4/2020,Shein,Chicago,Middle Mile,10,50,677.69
1/4/2020,Shein,Nashville,Middle Mile,10,40,867.68
1/4/2020,Shein,Detroit,Middle Mile,10,50,398.09
1/4/2020,Shein,Dallas,Middle Mile,14,70,1464.57
1/4/2020,Starbucks,Houston,Middle Mile,13,65,678.88
1/4/2020,Starbucks,San Francisco,Middle Mile,14,70,497.99
1/4/2020,Starbucks,Los Angeles,Middle Mile,15,75,1151.31
1/4/2020,Home Goods,Houston,Middle Mile,9,45,648.84
1/4/2020,Costco,Minneapolis,First Mile,7,35,1382.27
1/4/2020,Costco,Houston,First Mile,4,20,281.73
1/4/2020,Costco,Birmingham,First Mile,2,10,156.16
1/4/2020,Amazon,Chicago,Final Mile,15,105,1151.73
1/4/2020,Costco,San Diego,First Mile,9,54,1197.73
1/4/2020,Amazon,San Francisco,Final Mile,11,55,275.63
1/4/2020,Amazon,Los Angeles,Final Mile,12,60,1030.76
1/4/2020,Amazon,San Diego,Final Mile,16,80,537.05
1/4/2020,Amazon,Houston,Final Mile,8,32,172.47
1/4/2020,Amazon,New York,Final Mile,6,30,697.58
1/4/2020,Amazon,Birmingham,Final Mile,7,28,420.33
1/4/2020,Amazon,Nashville,Final Mile,6,30,607.51
1/4/2020,Amazon,Minneapolis,Final Mile,11,55,1131.49
